Country, Both sexes, Female, Male
Afghanistan,2.9 [1.6-4.2],4.1 [2.2-6.7],1.8 [0.8-3.3]
Albania,17.6 [12.7-22.2],18.7 [12-26.3],16.5 [10.7-23.4]
Algeria,24.8 [19.7-29.8],30.8 [23.4-38.5],18.8 [12.9-25.4]
Andorra,29.5 [23.8-35.1],30.5 [22.5-39.1],28.5 [21.1-36.1]
Angola,10.2 [6-14.3],14.2 [8.4-21.7],6 [2.9-10.8]
Antigua and Barbuda,30.9 [24-38],38.7 [28.6-49.3],22.8 [14.4-32.8]
Argentina,26.3 [21.3-31.4],28.9 [21.7-36.9],23.6 [16.7-31.3]
Armenia,19.5 [14.7-24.4],22 [15.2-29.5],17.2 [10.9-24.5]
Australia,28.6 [24-32.9],28.8 [23.3-34.5],28.4 [22.8-34.3]
Austria,18.4 [13.7-23],16.3 [10.9-22.6],20.5 [14.2-27.7]
Azerbaijan,22.5 [17.4-28.1],26.1 [18.6-34.2],19 [12.2-26.8]
Bahamas,36.2 [29.9-42.4],42.5 [33.6-51.3],29.7 [21.5-38.5]
Bahrain,35.1 [29.9-40.7],42.8 [34.6-50.6],30.5 [23.2-38.2]
Bangladesh,3.6 [2.2-5],5.1 [3-7.8],2.1 [1-3.7]
Barbados,31.3 [25-37.9],38.2 [28.5-48],24.4 [16-34]
Belarus,23.4 [17.4-29.5],25.5 [16.9-34.5],21 [14-29.3]
Belgium,20.2 [15.3-24.4],18.2 [12.6-24.8],22.3 [16.1-28.9]
Belize,22.5 [17.4-27.8],28.8 [20.9-37.3],16.1 [10.3-23.4]
Benin,9.3 [6.7-11.8],14.5 [10.3-19.3],4.1 [2.3-6.8]
Bhutan,6.7 [4.4-9.1],8.8 [5.5-13],4.9 [2.7-8.2]
Bolivia (Plurinational State of),17.1 [12.5-21.6],22.2 [15.6-29.8],12.1 [6.9-18.4]
Bosnia and Herzegovina,17.9 [12.6-22.6],19.4 [12.4-27.9],16.3 [10.1-24]
Botswana,22.4 [17.3-27.5],32.3 [24-41.1],12.7 [7.6-19.3]
Brazil,20 [15.8-24],22.7 [17.2-28.9],17.3 [12-23.1]
Brunei Darussalam,18.1 [13-23.5],20.1 [12.8-28.7],16.2 [9.5-24.7]
Bulgaria,23.2 [17.6-28.5],24.5 [16.8-33],21.8 [15.1-29.6]
Burkina Faso,6.3 [4.2-8.1],9.2 [6.1-13],3.2 [1.7-5.5]
Burundi,2.6 [1.3-3.9],4.5 [2.4-7.5],0.7 [0.2-1.5]
Cote d'Ivoire,9.2 [6.6-11.7],13.8 [9.8-18.4],4.7 [2.6-7.9]
Cabo Verde,13 [9.7-16.4],17.4 [12.1-23.3],8.6 [5.1-13.2]
Cambodia,3.2 [1.8-4.5],4.6 [2.6-7.4],1.7 [0.8-3.2]
Cameroon,11.4 [8.5-14.4],17.1 [12.4-22.3],5.8 [3.2-9.3]
Canada,28 [23.9-32.6],29.1 [23.1-35.4],26.8 [20.8-33.4]
Central African Republic,5.1 [3.1-7.3],8 [4.5-12.6],2.2 [0.9-4.3]
Chad,8.1 [5.4-10.8],12.3 [8.2-17.4],4 [2-6.9]
Chile,27.8 [22.8-32.7],32.2 [24.8-40.1],23.3 [16.8-30.5]
China,6.9 [4.5-9.2],8 [4.7-12.3],5.9 [3.2-9.3]
Colombia,21 [16.7-24.8],25.7 [19.6-32.3],16.1 [10.8-21.9]
Comoros,6.6 [4.3-8.8],11 [7.3-15.4],2.2 [1.1-4]
Congo,11 [7.5-14.5],15.7 [10.2-22.1],6.4 [3.2-10.9]
Cook Islands,50.8 [45.2-56.3],55.1 [47.2-62.9],46.6 [38.2-54.8]
